Div,Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePoint,AwayPoint,HomeDiff,AwayDiff,HomeRank,AwayRank,HomeGF,HomeGA,AwayGF,AwayGA
I1,06/10/2024,2024-2025,Lazio,Empoli,2.0,1.0,H,1.0,1.0,D,16.0,7.0,6.0,2.0,10.0,17.0,5.0,3.0,2.0,4.0,0.0,0.0,10,10,2,3,9,8,12,10,5,2
I1,06/10/2024,2024-2025,Monza,Roma,1.0,1.0,D,0.0,0.0,D,3.0,15.0,3.0,4.0,16.0,13.0,1.0,3.0,3.0,1.0,0.0,0.0,3,9,-4,3,20,10,4,8,7,4
I1,06/10/2024,2024-2025,Fiorentina,Milan,2.0,1.0,H,1.0,0.0,H,12.0,16.0,3.0,8.0,11.0,21.0,0.0,7.0,2.0,3.0,0.0,1.0,7,11,0,7,14,6,7,7,14,7
I1,19/10/2024,2024-2025,Como,Parma,1.0,1.0,D,1.0,1.0,D,11.0,9.0,3.0,3.0,14.0,10.0,7.0,4.0,1.0,2.0,0.0,0.0,8,6,-4,-2,14,15,10,14,10,12
I1,19/10/2024,2024-2025,Genoa,Bologna,2.0,2.0,D,0.0,1.0,A,10.0,12.0,4.0,7.0,20.0,12.0,1.0,7.0,2.0,0.0,0.0,0.0,5,8,-10,-2,18,14,5,15,7,9
I1,19/10/2024,2024-2025,Milan,Udinese,1.0,0.0,H,1.0,0.0,H,10.0,13.0,5.0,1.0,3.0,14.0,8.0,4.0,2.0,3.0,1.0,0.0,11,13,6,0,6,5,15,9,10,10
I1,19/10/2024,2024-2025,Juventus,Lazio,1.0,0.0,H,0.0,0.0,D,16.0,2.0,3.0,1.0,16.0,9.0,7.0,1.0,4.0,2.0,0.0,1.0,13,13,9,3,4,5,10,1,14,11
I1,20/10/2024,2024-2025,Empoli,Napoli,0.0,1.0,A,0.0,0.0,D,11.0,9.0,4.0,1.0,14.0,13.0,7.0,7.0,2.0,2.0,0.0,0.0,10,16,2,9,10,2,6,4,14,5
I1,20/10/2024,2024-2025,Lecce,Fiorentina,0.0,6.0,A,0.0,3.0,A,5.0,19.0,2.0,11.0,8.0,14.0,1.0,3.0,0.0,5.0,1.0,0.0,5,10,-9,1,18,10,3,12,9,8
I1,20/10/2024,2024-2025,Venezia,Atalanta,0.0,2.0,A,0.0,1.0,A,12.0,16.0,4.0,7.0,12.0,6.0,2.0,5.0,1.0,1.0,0.0,0.0,4,10,-7,3,20,9,5,12,16,13
I1,20/10/2024,2024-2025,Cagliari,Torino,3.0,2.0,H,1.0,1.0,D,18.0,17.0,5.0,5.0,9.0,8.0,9.0,12.0,1.0,3.0,0.0,0.0,6,11,-6,1,16,9,5,11,12,11
